symbol,isActive,isIndex
600678,TRUE,FALSE
600679,TRUE,FALSE
600680,TRUE,FALSE
600681,TRUE,FALSE
600682,TRUE,FALSE
600683,TRUE,FALSE
600684,TRUE,FALSE
600685,TRUE,FALSE
600686,TRUE,FALSE
600687,TRUE,FALSE
600688,TRUE,FALSE
600689,TRUE,FALSE
600690,TRUE,FALSE
600691,TRUE,FALSE
600692,TRUE,FALSE
600693,TRUE,FALSE
600694,TRUE,FALSE
600695,TRUE,FALSE
600696,TRUE,FALSE
600697,TRUE,FALSE
600698,TRUE,FALSE
600699,TRUE,FALSE
600700,TRUE,FALSE
600701,TRUE,FALSE
600702,TRUE,FALSE
600703,TRUE,FALSE
600704,TRUE,FALSE
600705,TRUE,FALSE
600706,TRUE,FALSE
600707,TRUE,FALSE
600708,TRUE,FALSE
600709,TRUE,FALSE
600710,TRUE,FALSE
600711,TRUE,FALSE
600712,TRUE,FALSE
600713,TRUE,FALSE
600714,TRUE,FALSE
600715,TRUE,FALSE
600716,TRUE,FALSE
600717,TRUE,FALSE
600718,TRUE,FALSE
600719,TRUE,FALSE
600720,TRUE,FALSE
600721,TRUE,FALSE
600722,TRUE,FALSE
600723,TRUE,FALSE
600724,TRUE,FALSE
600725,TRUE,FALSE
600726,TRUE,FALSE
600727,TRUE,FALSE
600728,TRUE,FALSE
600729,TRUE,FALSE
600730,TRUE,FALSE
600731,TRUE,FALSE
600732,TRUE,FALSE
600733,TRUE,FALSE
600734,TRUE,FALSE
600735,TRUE,FALSE
600736,TRUE,FALSE
600737,TRUE,FALSE
600738,TRUE,FALSE
600739,TRUE,FALSE
600740,TRUE,FALSE
600741,TRUE,FALSE
600742,TRUE,FALSE
600743,TRUE,FALSE
600744,TRUE,FALSE
600745,TRUE,FALSE
600746,TRUE,FALSE
600747,TRUE,FALSE
600748,TRUE,FALSE
600749,TRUE,FALSE
600750,TRUE,FALSE
600751,TRUE,FALSE
600752,TRUE,FALSE
600753,TRUE,FALSE
600754,TRUE,FALSE
600755,TRUE,FALSE
600756,TRUE,FALSE
600757,TRUE,FALSE
600758,TRUE,FALSE
600759,TRUE,FALSE
600760,TRUE,FALSE
600761,TRUE,FALSE
600762,TRUE,FALSE
600763,TRUE,FALSE
600764,TRUE,FALSE
